"item"	"group1"	"group2"	"vars"	"n"	"mean"	"sd"	"median"	"trimmed"	"mad"	"min"	"max"	"range"	"skew"	"kurtosis"	"se"
"11"	"1"	"banbury"	"0"	1	23	291.246956521739	4.9771390420078	289.94	289.911578947368	0.533736000000104	288.32	307.94	19.6200000000001	2.6064964077239	5.38072664377726	1.03780523102485
"12"	"2"	"cal#1in"	"0"	1	133	258.487368421053	5.60658891256081	260.06	259.531775700935	2.40181200000001	236.48	265.64	29.16	-1.82150627937734	2.8191764577507	0.486152914110487
"13"	"3"	"cal#1out"	"0"	1	117	245.82	3.17932653896691	246.56	246.306105263158	1.60120799999998	230.54	251.24	20.7	-2.2721783909751	6.97907108768039	0.293928842504837
"14"	"4"	"cal#2in"	"0"	1	114	257.017368421053	4.57033335718611	255.92	257.174130434783	4.80362399999993	240.62	265.64	25.02	-0.555412169462276	1.03957919122098	0.428050937653904
"15"	"5"	"cal#2out"	"0"	1	40	198.878	6.31242291651336	197.87	198.066875	4.26988799999997	190.76	215.06	24.3	1.09347595273265	0.330487334343888	0.998081698521257
"16"	"6"	"mill"	"0"	1	22	281.242727272727	20.0054576319797	271.58	280.44	16.278948	252.32	316.76	64.44	0.51785781463499	-1.20194959717502	4.26517789815989
"17"	"7"	"scratch_in"	"0"	1	161	287.337267080745	11.0171358566767	289.58	287.895813953488	12.8096639999999	257.54	303.8	46.26	-0.302984964831385	-0.687683269993732	0.868271941559686
"18"	"8"	"sheeter_out"	"0"	1	136	250.553088235294	7.56267261348946	253.04	251.758727272727	4.00302000000003	220.82	261.5	40.68	-1.81825278508884	3.5444056693738	0.648493826554721
"19"	"9"	"banbury"	"1"	1	3	299.6	10.9035040239365	294.8	299.6	4.26988799999999	291.92	312.08	20.16	0.354910442859938	-2.33333333333334	6.29514098332991
"110"	"10"	"cal#1in"	"1"	1	547	257.104314442413	3.27156139362032	257.72	257.480546697039	2.93554800000003	237.2	262.76	25.56	-1.18879802239937	2.33727826830279	0.139881864182919
"111"	"11"	"cal#1out"	"1"	1	535	249.099177570093	5.34751418292412	250.88	249.856643356643	2.40181200000001	230.72	258.44	27.72	-1.34494519434555	1.0206835683468	0.231193198880397
"112"	"12"	"cal#2in"	"1"	1	541	289.473197781885	14.4212895457605	294.62	292.136581986143	8.27290799999998	241.52	304.7	63.18	-1.53458208563564	1.390620390428	0.620019664828356
"113"	"13"	"cal#2out"	"1"	1	516	218.027558139535	6.94399439108424	220.64	218.927826086957	4.53675600000004	195.62	227.3	31.68	-1.12765671537215	0.520474726820357	0.305692307757508
"114"	"14"	"mill"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"115"	"15"	"scratch_in"	"1"	1	556	274.498848920863	9.46829688380316	275.72	274.838161434978	9.87411600000004	255.02	291.74	36.72	-0.366862528723872	-0.829067292913713	0.40154522998826
"116"	"16"	"sheeter_out"	"1"	1	547	243.434515539305	5.24831240042109	244.58	244.05271070615	4.53675599999996	211.46	252.68	41.22	-1.30202819063788	2.62007803050457	0.224401633977233
"117"	"17"	"banbury"	"2"	1	47	302.003829787234	6.80525965168997	302	302.004615384615	7.20543600000002	287.96	314.42	26.46	-0.003218202436999	-0.922837870802301	0.992649141234722
"118"	"18"	"cal#1in"	"2"	1	634	254.971451104101	3.44710049758016	255.38	255.287874015748	2.93554799999999	237.74	263.12	25.38	-1.1165561546738	2.45598892690962	0.136901849759364
"119"	"19"	"cal#1out"	"2"	1	640	248.858375	6.1592271213517	250.43	249.3299609375	5.73766200000001	230.36	262.58	32.22	-0.63934219347056	-0.166620925162817	0.243464829121921
"120"	"20"	"cal#2in"	"2"	1	638	283.209749216301	23.3522721056406	277.16	282.5751171875	28.554876	246.56	318.74	72.18	0.208966338131194	-1.65667041520673	0.924525306051484
"121"	"21"	"cal#2out"	"2"	1	661	207.553645990923	4.30239758970998	208.58	207.721172022684	4.53675599999996	192.02	224.24	32.22	-0.351787637481737	-0.03227791508263	0.167343871372223
"122"	"22"	"mill"	"2"	1	143	284.480839160839	17.7727642359489	288.5	283.420869565217	21.883176	253.76	320.9	67.14	0.278333981410347	-1.01180483576449	1.48623320880521
"123"	"23"	"scratch_in"	"2"	1	753	278.908844621514	8.36148464042414	277.88	278.946268656716	7.73917200000004	255.74	297.14	41.4	-0.035620791543044	-0.252978640430678	0.304709439443744
"124"	"24"	"sheeter_out"	"2"	1	630	242.418571428571	5.05291703978475	243.14	243.045714285714	3.869586	218.48	251.06	32.58	-1.59804225030282	3.8494407269285	0.201313033551466
"125"	"25"	"banbury"	"3"	1	503	306.049463220676	8.05109437453249	306.5	306.315980148883	8.00604000000005	287.78	326.84	39.0600000000001	-0.253148668583719	-0.466887095641427	0.358980555213135
"126"	"26"	"cal#1in"	"3"	1	8098	258.050370461842	8.00609681142815	257.18	257.348861111111	5.07049199999998	235.04	293.54	58.5	1.54202600934947	4.90262128175845	0.088967615572421
"127"	"27"	"cal#1out"	"3"	1	8083	251.940893232711	6.16802099487165	251.78	251.889692283903	6.13796400000002	230.36	278.6	48.24	0.099828550473104	0.024557461860655	0.068605597952475
"128"	"28"	"cal#2in"	"3"	1	8104	300.117174234946	21.2390100541367	309.2	303.260471930907	10.941588	241.7	334.22	92.52	-1.23620032380043	0.261468190185492	0.235930753284675
